gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3418869455	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/496f662b7c502a609d214b16d22ae63c.jpg											
3418869454	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/0458ca341a41a73b882738fe818a1e7d.jpg											
3418869453	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/g7m4habnjygrxylv4lrwlpgyk4dff0cj.jpg											
3418869452	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/02d66eb7e9adfff5e9679bbee646d6be.jpg											
3418869451	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/9ce532007aeae4c404a7dc0e3729ed51.jpg											
3418869450	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/04/62b244ac047a2a90f05cfb4bad509d66.jpg											
3418869449	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/bed8c5a4eb-1431439662872.jpg											
3418869447	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/08/e2d8f15556f34370c6c2ee01ce570d00.jpg											
3418869446	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/04/149ed9298d4951ae8b555bda2a310554.jpg											
3418869445	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/04/6a82f165a1ebd9e66b828d38c68ea1bc.jpg											
3418869444	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/04/d91df74e1a7d796a4ba701c30a0fd9bb.jpg											
3418869443	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/09/e4c9f78c37ea8d1273c938e2e6abcc63.jpg											
3418869441	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/09/5zdw2gr9t0j2ikwmwzjrglqt5qj9hh2h.jpg											
3418869440	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/593111efec-1431604189092.jpg											
3418869439	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/ec198a50bd-1431614514641.jpg											
3418869438	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/490c33f921-1431621763416.jpg											
3418869436	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/78c6582167-1431614484799.jpg											
